bot_id
mo1569-mondelezbr
ne1374-nespresso-wa-ng-br
wa-g-1948-greal-rmp
wa-un2089-kiki-production
wa-ke1770-kellanova
at1551-atacadao-wa-br
wa-g-1948-greal-disape
compra-agora-ng-wa-br
wa-fr1941-fruki-prd
wa-co2107-colgatepalmolive-prd
wa-me1772-mercedes-b2c
wa-g-1948-greal-rdr
rommac-caboclo-wa-br
rommac-rommac-wa-br
wa-ne1777-nestle-professional-production
wa-ra1675-raizen-flow
wa-ne1374-contact-leads-nespresso-pro
wa-ne1374-moment-n
wa-un2089-blito
wa-me1772-mercedes-benz-garantistas
wa-me1772-mercedes-benz-universo-mb
ng-femsa-wae-co-prd
ng-femsa-wae-br-prd
ng-femsa-wae-ni-prd
ng-femsa-wae-gt-prd
ng-femsa-wae-cr-prd
ng-femsa-wae-uy-prd
ng-femsa-wae-ar-prd
ng-femsa-wae-pa-prd
ng-femsa-wae-mx-prd
wa-pe1814-penafiel-mx
wa-ce2212-cesar-iglesias-prod
wa-ju2133-jumex-prod
wa-la2332-la-costena-prod
mondelez-mx-b2b
wa-pr1905-proan
unilever_b2b
wa-di1984-diana-sv
wa-gr1916-grupolala
wa-ri1653-rica-mx-b2b
wa-su1932-production-sukarnemx
nestle-mx-b2b
wa-pd1665-pdc-codisa
wa-pd2191-pdc-lakasa-peru
wa-to2105-socios-tosticentro-mx-prd
wa-bo1917-bowen-bowen-prod
wa-pd1665-pdc-codisa-el-salvador
wa-ba1758-bafar
nadro-mx-b2b
bepensa-mx-prd
bepensa-rd-prd
ism-dr-beverages
wa-gr1794-grupo-nieto
wa-mi1920-minsa-prod
wa-ne2096-nestle-professional-chile
wa-ne2120-nestle-professional-mx
nestle-jmc-prd
wa-co1753-compre-ahora-mx
wa-fe2082-feduro-panama
ln-su2319-suntory
hbc-ng-b2b
wa-hb2210-hbc-egypt
wa-hi1949-hico-prod
wa-si2185-sirvis-italy
wa-po1804-postobon
unilever-ecu-hpc-prd
wa-pe1786-pepsico-col
alpina-wa-col-prd
wa-ca1641-carozzi-ch
wa-ne1956-nestle-colombia
wa-cc1661-ccu-cl-b2b
wa-mo1662-ecuador-production
pepsico-chile
molitalia-pe-b2b
wa-pr1781-pronaca
wa-pe2347-pepsico-peru-prd
wa-pe2101-pepsico-rep-dominicana
mo1561-mondelez-peru-b2b
wa-mo1533-mondelez-argentina
wa-ga2103-gabrica-colombia
wa-it1752-italcol
wa-pr1764-profarco-pgy
wa-en1992-enex-chile
wa-mo1564-mondelez-uruguay
nestle-chile-b2b
unilever-ecu-ic-prd
wa-mo1565-mondelez-col-b2b-prd
wa-ne1614-nestle-ven
wa-un1912-napolita-ecuador
wa-un2093-unilever-ecu-ice-b2b2c
wa-yu1673-yupi-co-b2b
